metric,lever,net_sharpe,ann_ret,ann_vol,mdd,n_trades
pc,baseline,0.572,0.0166,0.0296,-0.0982,37551
pc,coint,0.289,0.0084,0.0305,-0.1072,11316
pc,entry2.5,0.506,0.0177,0.036,-0.1533,23632
pc,entry3.0,0.403,0.018,0.047,-0.186,14604
pc,nostop,0.683,0.0204,0.0303,-0.086,30050
pc,passive,0.782,0.0231,0.0297,-0.0751,37551
pc,combo,0.694,0.0279,0.0409,-0.069,7284
factor,baseline,0.578,0.0181,0.032,-0.0656,23520
factor,coint,0.583,0.0258,0.0456,-0.0941,7054
factor,entry2.5,0.564,0.0227,0.0413,-0.1064,14624
factor,entry3.0,0.543,0.0318,0.0611,-0.1428,8857
factor,nostop,0.717,0.023,0.0325,-0.0586,19044
factor,passive,0.773,0.0246,0.0322,-0.0598,23520
factor,combo,0.582,0.0335,0.0598,-0.091,4513
