k0,kc,T,H,n_trades,n_closed,n_abort,median_ruce_net,mean_ruce_net,median_roce_net,median_duration,pct_profitable
1.65,0.0,30,30,3434,1953,1481,0.020316,0.032845,0.002454,6.0,0.6083
1.65,0.5,30,30,3647,1510,2137,0.012249,0.029866,-0.000616,5.0,0.5868
1.65,1.0,30,30,3824,1118,2706,0.007695,0.03083,-0.003048,4.0,0.542
2.0,0.0,30,30,2376,1392,984,0.026844,0.042146,0.006201,6.0,0.6379
2.0,0.5,30,30,2477,1081,1396,0.019333,0.040152,0.001958,5.0,0.6198
2.0,1.0,30,30,2560,818,1742,0.012162,0.041779,-0.000118,4.0,0.577
2.33,0.0,30,30,1738,1009,729,0.030169,0.050496,0.007156,6.0,0.6611
2.33,0.5,30,30,1794,788,1006,0.023802,0.050812,0.004215,5.0,0.6434
2.33,1.0,30,30,1842,613,1229,0.019333,0.054442,0.001978,4.0,0.6199
1.65,0.0,30,90,3405,1926,1479,0.0208,0.034593,0.003056,6.0,0.6173
1.65,0.5,30,90,3632,1495,2137,0.012491,0.030709,-0.000362,5.0,0.5893
1.65,1.0,30,90,3822,1116,2706,0.00789,0.030869,-0.003048,4.0,0.543
2.0,0.0,30,90,2357,1374,983,0.02715,0.043912,0.006715,6.0,0.647
2.0,0.5,30,90,2466,1070,1396,0.020685,0.041186,0.002054,5.0,0.6262
2.0,1.0,30,90,2558,816,1742,0.012311,0.04171,-0.000118,4.0,0.5784
2.33,0.0,30,90,1726,997,729,0.029673,0.051439,0.007716,5.0,0.667
2.33,0.5,30,90,1787,781,1006,0.023903,0.051034,0.004609,5.0,0.6492
2.33,1.0,30,90,1841,612,1229,0.019264,0.054109,0.001977,4.0,0.6193
1.65,0.0,30,120,3404,1925,1479,0.020786,0.034689,0.003052,6.0,0.6171
1.65,0.5,30,120,3632,1495,2137,0.012491,0.030849,-0.000362,5.0,0.5893
1.65,1.0,30,120,3822,1116,2706,0.00789,0.030869,-0.003048,4.0,0.543
2.0,0.0,30,120,2356,1373,983,0.026968,0.044035,0.006651,6.0,0.6468
2.0,0.5,30,120,2466,1070,1396,0.020685,0.041382,0.002054,5.0,0.6262
2.0,1.0,30,120,2558,816,1742,0.012311,0.04171,-0.000118,4.0,0.5784
2.33,0.0,30,120,1725,996,729,0.029568,0.051551,0.007525,5.0,0.6667
2.33,0.5,30,120,1787,781,1006,0.023903,0.051262,0.004609,5.0,0.6492
2.33,1.0,30,120,1841,612,1229,0.019264,0.054109,0.001977,4.0,0.6193
1.65,0.0,60,30,2920,1662,1258,0.022688,0.036159,0.005184,6.0,0.6402
1.65,0.5,60,30,3095,1284,1811,0.019512,0.033033,0.002116,5.0,0.6246
1.65,1.0,60,30,3256,929,2327,0.01597,0.033924,0.001173,4.0,0.6028
2.0,0.0,60,30,2064,1173,891,0.027946,0.044135,0.007307,6.0,0.6556
2.0,0.5,60,30,2155,909,1246,0.024775,0.043792,0.004809,5.0,0.6557
2.0,1.0,60,30,2231,671,1560,0.021694,0.044097,0.002966,4.0,0.6349
2.33,0.0,60,30,1477,841,636,0.030225,0.051214,0.010527,6.0,0.6694
2.33,0.5,60,30,1528,673,855,0.029884,0.050068,0.007059,5.0,0.6642
2.33,1.0,60,30,1570,505,1065,0.02601,0.054478,0.00555,4.0,0.6495
1.65,0.0,60,90,2873,1615,1258,0.023177,0.038584,0.006185,5.0,0.6483
1.65,0.5,60,90,3065,1255,1810,0.019563,0.034484,0.002782,5.0,0.6247
1.65,1.0,60,90,3238,912,2326,0.015896,0.035511,0.001376,4.0,0.6009
2.0,0.0,60,90,2041,1150,891,0.028773,0.045788,0.008137,6.0,0.6661
2.0,0.5,60,90,2141,895,1246,0.024916,0.044569,0.005133,5.0,0.6637
2.0,1.0,60,90,2222,662,1560,0.021594,0.044923,0.00297,4.0,0.6344
2.33,0.0,60,90,1464,828,636,0.030516,0.053345,0.011955,6.0,0.6787
2.33,0.5,60,90,1521,666,855,0.029733,0.051525,0.007616,5.0,0.6772
2.33,1.0,60,90,1566,501,1065,0.025401,0.054515,0.00558,4.0,0.6487
1.65,0.0,60,120,2868,1610,1258,0.023071,0.038518,0.00618,5.0,0.6466
1.65,0.5,60,120,3064,1254,1810,0.019512,0.034178,0.002719,5.0,0.6244
1.65,1.0,60,120,3238,912,2326,0.015896,0.035738,0.001376,4.0,0.6009
2.0,0.0,60,120,2038,1147,891,0.028727,0.046246,0.008374,6.0,0.6652
2.0,0.5,60,120,2141,895,1246,0.024916,0.045187,0.005155,5.0,0.6637
2.0,1.0,60,120,2222,662,1560,0.021594,0.045193,0.00297,4.0,0.6344
2.33,0.0,60,120,1462,826,636,0.030292,0.053802,0.012195,6.0,0.678
2.33,0.5,60,120,1521,666,855,0.029733,0.051793,0.007616,5.0,0.6772
2.33,1.0,60,120,1566,501,1065,0.025401,0.054871,0.00558,4.0,0.6487
1.65,0.0,90,30,2647,1535,1112,0.023971,0.03865,0.006229,6.0,0.6339
1.65,0.5,90,30,2815,1152,1663,0.018465,0.035767,0.002977,5.0,0.6163
1.65,1.0,90,30,2963,839,2124,0.016501,0.03813,0.001756,4.0,0.5983
2.0,0.0,90,30,1845,1063,782,0.027716,0.045671,0.008603,6.0,0.6463
2.0,0.5,90,30,1944,814,1130,0.023855,0.044775,0.005085,5.0,0.6388
2.0,1.0,90,30,2008,610,1398,0.023892,0.050747,0.004021,4.0,0.6393
2.33,0.0,90,30,1350,773,577,0.032273,0.055878,0.012716,6.0,0.6766
2.33,0.5,90,30,1400,609,791,0.029792,0.054772,0.007156,5.0,0.6601
2.33,1.0,90,30,1431,447,984,0.031214,0.066244,0.006454,4.0,0.6734
1.65,0.0,90,90,2587,1475,1112,0.026059,0.040583,0.007716,6.0,0.6475
