borrow_rate_pct,slippage_bps_per_leg,total_extra_cost_bps,median_ruce_net,pct_profitable,breakeven
0.0,0.0,0.0,0.058721,0.8057,False
0.0,5.0,20.0,0.056721,0.7997,False
0.0,10.0,40.0,0.054721,0.7909,False
0.0,20.0,80.0,0.050721,0.7771,False
0.5,0.0,1.3,0.058566,0.8057,False
0.5,5.0,21.3,0.056566,0.7991,False
0.5,10.0,41.3,0.054566,0.7909,False
0.5,20.0,81.3,0.050566,0.7771,False
1.0,0.0,2.5,0.058498,0.8052,False
1.0,5.0,22.5,0.056498,0.7986,False
1.0,10.0,42.5,0.054498,0.7903,False
1.0,20.0,82.5,0.050498,0.7766,False
2.0,0.0,5.1,0.058146,0.8046,False
2.0,5.0,25.1,0.056146,0.798,False
2.0,10.0,45.1,0.054146,0.7892,False
2.0,20.0,85.1,0.050146,0.7755,False
