borrow_rate_pct,slippage_bps_per_leg,total_extra_cost_bps,median_ruce_net,pct_profitable,breakeven
0.0,0.0,0.0,0.044104,0.7417,False
0.0,5.0,20.0,0.042104,0.7304,False
0.0,10.0,40.0,0.040104,0.72,False
0.0,20.0,80.0,0.036104,0.7009,False
0.5,0.0,1.1,0.044063,0.7417,False
0.5,5.0,21.1,0.042063,0.7304,False
0.5,10.0,41.1,0.040063,0.72,False
0.5,20.0,81.1,0.036063,0.7,False
1.0,0.0,2.2,0.043961,0.7409,False
1.0,5.0,22.2,0.041961,0.7304,False
1.0,10.0,42.2,0.039961,0.72,False
1.0,20.0,82.2,0.035961,0.7,False
2.0,0.0,4.5,0.043578,0.7391,False
2.0,5.0,24.5,0.041578,0.7304,False
2.0,10.0,44.5,0.039578,0.72,False
2.0,20.0,84.5,0.035578,0.6974,False
