pair_id,adr_ticker,underlying_ticker,status,n_days,adr_zero_return_pct,loc_zero_return_pct,adr_max_stale_run_days,loc_max_stale_run_days,zero_return_spread_fraction,flagged,flag_reason
132934__932068,132934,932068,ok,868,0.0196,0.0,2,0,0.0144,False,
133345__997914,133345,997914,ok,1735,0.0277,0.0415,2,2,0.0484,False,
133553__745287,133553,745287,ok,3080,0.013,0.0091,2,2,0.0181,False,
134286__501936,134286,501936,ok,3569,0.0067,0.0409,1,2,0.0382,False,
134517__314713,134517,314713,ok,3569,0.0216,0.0482,2,2,0.0535,False,
13869U__756413,13869U,756413,ok,1946,0.0447,0.1049,2,3,0.1268,False,
14849F__998511,14849F,998511,ok,1425,0.0225,0.033,2,2,0.0491,False,
151293__937357,151293,937357,ok,3591,0.0694,0.0721,3,3,0.118,False,
151377__912644,151377,912644,ok,2964,0.0098,0.0182,3,2,0.0253,False,
151426__315299,151426,315299,ok,3152,0.0184,0.0194,2,2,0.0283,False,
151427__997310,151427,997310,ok,1739,0.0253,0.0414,3,3,0.0468,False,
151440__916546,151440,916546,ok,3583,0.0304,0.0276,2,3,0.0493,False,
151444__315891,151444,315891,ok,2185,0.0426,0.125,4,5,0.1109,False,
151497__951407,151497,951407,ok,3574,0.0241,0.0459,2,3,0.0557,False,
151516__951410,151516,951410,ok,2256,0.0687,0.0408,4,2,0.0744,False,
151619__540775,151619,540775,ok,3541,0.0059,0.0288,3,3,0.0153,False,
151639__929690,151639,929690,ok,853,0.0293,0.0399,2,2,0.0521,False,
151643__932197,151643,932197,ok,3541,0.0068,0.0175,1,3,0.0125,False,
151646__912177,151646,912177,ok,2167,0.0069,0.0097,1,2,0.0155,False,
151649__916446,151649,916446,ok,618,0.0049,0.0227,2,2,0.0168,False,
151663__929587,151663,929587,ok,3663,0.0074,0.024,1,2,0.0246,False,
151767__729076,151767,729076,ok,3348,0.032,0.0391,2,2,0.0514,False,
25552J__938939,25552J,938939,ok,3277,0.0122,0.0137,2,1,0.0137,False,
2559PW__2674EQ,2559PW,2674EQ,ok,913,0.0537,0.2478,2,16,0.1907,True,['loc_stale_run>5']
25611Z__9307L8,25611Z,9307L8,ok,699,0.0143,0.0072,3,1,0.0173,False,
25797T__317483,25797T,317483,ok,663,0.0106,0.0136,1,1,0.0207,False,
2580RJ__2710VN,2580RJ,2710VN,ok,795,0.0063,0.2859,1,24,0.2507,True,['loc_stale_run>5']
2595KM__9911DF,2595KM,9911DF,ok,1072,0.0149,0.0401,1,2,0.038,False,
26133J__932252,26133J,932252,ok,3528,0.0142,0.0145,2,2,0.0249,False,
263502__140539,263502,140539,ok,2986,0.0576,0.0891,3,3,0.1124,False,
265757__540324,265757,540324,ok,1644,0.0481,0.0627,3,3,0.0888,False,
266613__755996,266613,755996,ok,2944,0.0415,0.0591,5,3,0.0706,False,
26981M__26030V,26981M,26030V,ok,3580,0.0047,0.0615,1,3,0.0551,False,
2721ME__32307F,2721ME,32307F,ok,1903,0.0126,0.0174,1,2,0.0248,False,
27220J__912748,27220J,912748,ok,2556,0.0086,0.0305,2,2,0.0361,False,
27604J__315206,27604J,315206,ok,3569,0.0059,0.0373,1,2,0.0342,False,
28335J__27121Q,28335J,27121Q,ok,3531,0.0229,0.0167,2,2,0.0258,False,
29057K__141025,29057K,141025,ok,1533,0.015,0.079,1,3,0.0815,False,
29057L__140891,29057L,140891,ok,3656,0.0077,0.0172,1,2,0.022,False,
29057P__141026,29057P,141026,ok,519,0.0309,0.1023,4,5,0.1435,False,
29072L__141024,29072L,141024,ok,1627,0.0117,0.0646,1,3,0.072,False,
29235P__29235V,29235P,29235V,ok,3569,0.0224,0.0432,2,2,0.0534,False,
292798__9747A1,292798,9747A1,ok,1406,0.0028,0.0135,1,1,0.01,False,
29573D__929164,29573D,929164,ok,3535,0.0076,0.0074,1,1,0.0093,False,
299441__280257,299441,280257,ok,848,0.0153,0.039,1,2,0.0304,False,
29969X__265497,29969X,265497,ok,2536,0.03,0.0931,3,8,0.0925,True,['loc_stale_run>5']
30913C__755998,30913C,755998,ok,2846,0.0531,0.1076,5,4,0.1055,False,
311259__997368,311259,997368,ok,621,0.0435,0.1597,3,3,0.1341,False,
31337Q__2557WW,31337Q,2557WW,ok,1217,0.0008,0.0058,1,1,0.0059,False,
31415E__314060,31415E,314060,ok,1037,0.0058,0.0309,1,2,0.0387,False,
32601M__257189,32601M,257189,ok,1511,0.0358,0.0775,4,3,0.067,False,
362819__315035,362819,315035,ok,3663,0.0126,0.1322,2,5,0.1257,False,
500326__256938,500326,256938,ok,3541,0.0472,0.0172,2,2,0.0431,False,
501286__912361,501286,912361,ok,2502,0.0084,0.022,1,2,0.0314,False,
50789U__14408W,50789U,14408W,ok,546,0.0936,0.2037,3,5,0.1755,False,
510003__932107,510003,932107,ok,1959,0.0092,0.0092,1,1,0.0135,False,
510095__921754,510095,921754,ok,3363,0.022,0.0443,2,3,0.0628,False,
510311__912023,510311,912023,ok,2439,0.0066,0.0123,1,1,0.0107,False,
510421__916570,510421,916570,ok,3541,0.0172,0.0169,2,2,0.0217,False,
511280__929864,511280,929864,ok,3538,0.0161,0.0235,2,2,0.0297,False,
511520__916811,511520,916811,ok,1127,0.0107,0.0488,3,2,0.1449,False,
