metric,floor_0,floor_50k,floor_250k,floor_1M
ADR share-volume floor (shares/day),none,"50,000","250,000","1,000,000"
Pairs selected (train window),190,25,10,3
OOS trades (total),2041,271,102,32
OOS trades (closed round-trips),1477,190,80,29
Active trading days,1190,679,473,144
Sharpe,2.8521,1.0326,0.2656,0.3872
Sharpe (Newey-West),3.5316,1.4029,0.4841,0.7571
Sortino,4.2570,1.0996,0.2227,0.1956
Calmar,4.8868,1.6105,0.3316,0.3010
Annualised return,25.62%,2.33%,0.33%,0.29%
Annualised volatility,8.13%,2.26%,1.27%,0.75%
Total return (OOS),211.60%,12.13%,1.65%,1.43%
Max drawdown,-5.24%,-1.44%,-0.99%,-0.95%
Hit rate (active days),55.55%,50.07%,49.05%,54.86%
Median ROCE-net / trade,0.60%,0.35%,0.03%,0.56%
Final equity (growth of $1),$3.116,$1.121,$1.017,$1.014
