k0,kc,T,H,n_trades,n_closed,n_abort,median_ruce_net,mean_ruce_net,median_roce_net,median_duration,pct_profitable
1.65,0.0,30,30,3590,2152,1438,0.040606,0.059823,0.019813,5.0,0.783
1.65,0.5,30,30,3796,1677,2119,0.035194,0.058369,0.017611,4.0,0.7794
1.65,1.0,30,30,3953,1203,2750,0.032475,0.061067,0.016022,4.0,0.7672
2.0,0.0,30,30,2342,1431,911,0.043596,0.06475,0.021818,5.0,0.7869
2.0,0.5,30,30,2437,1119,1318,0.040061,0.066915,0.019232,5.0,0.7962
2.0,1.0,30,30,2511,816,1695,0.035086,0.071751,0.017441,4.0,0.777
2.33,0.0,30,30,1617,1024,593,0.044881,0.069891,0.022068,5.0,0.7852
2.33,0.5,30,30,1665,814,851,0.040013,0.072513,0.019564,5.0,0.7875
2.33,1.0,30,30,1705,587,1118,0.037022,0.0814,0.018124,4.0,0.7751
1.65,0.0,30,90,3575,2140,1435,0.040873,0.062105,0.019945,5.0,0.7855
1.65,0.5,30,90,3791,1673,2118,0.035235,0.060563,0.017751,4.0,0.7806
1.65,1.0,30,90,3951,1202,2749,0.032501,0.061338,0.01608,4.0,0.7671
2.0,0.0,30,90,2332,1423,909,0.043843,0.068119,0.021965,5.0,0.7906
2.0,0.5,30,90,2434,1117,1317,0.04054,0.069975,0.019326,5.0,0.7977
2.0,1.0,30,90,2510,816,1694,0.035086,0.072141,0.017478,4.0,0.777
2.33,0.0,30,90,1610,1018,592,0.045187,0.07392,0.022383,5.0,0.7868
2.33,0.5,30,90,1664,813,851,0.040553,0.076287,0.019596,5.0,0.7897
2.33,1.0,30,90,1705,587,1118,0.037022,0.081437,0.018124,4.0,0.7751
1.65,0.0,30,120,3575,2140,1435,0.040982,0.062074,0.019945,5.0,0.7855
1.65,0.5,30,120,3791,1673,2118,0.035235,0.06057,0.017751,4.0,0.7806
1.65,1.0,30,120,3951,1202,2749,0.032501,0.061338,0.01608,4.0,0.7671
2.0,0.0,30,120,2332,1423,909,0.043843,0.068095,0.021965,5.0,0.7906
2.0,0.5,30,120,2434,1117,1317,0.04054,0.069986,0.019326,5.0,0.7977
2.0,1.0,30,120,2510,816,1694,0.035086,0.072141,0.017478,4.0,0.777
2.33,0.0,30,120,1610,1018,592,0.045187,0.073888,0.022383,5.0,0.7868
2.33,0.5,30,120,1664,813,851,0.040553,0.076302,0.019596,5.0,0.7897
2.33,1.0,30,120,1705,587,1118,0.037022,0.081437,0.018124,4.0,0.7751
1.65,0.0,60,30,3020,1817,1203,0.04455,0.064291,0.021817,5.0,0.7837
1.65,0.5,60,30,3219,1391,1828,0.041711,0.067499,0.020022,4.0,0.7879
1.65,1.0,60,30,3383,1016,2367,0.037586,0.072498,0.018563,4.0,0.7697
2.0,0.0,60,30,1966,1203,763,0.04819,0.073751,0.023784,6.0,0.7955
2.0,0.5,60,30,2061,925,1136,0.0442,0.078336,0.021718,5.0,0.8
2.0,1.0,60,30,2131,677,1454,0.043288,0.084643,0.021136,4.0,0.7858
2.33,0.0,60,30,1288,811,477,0.048647,0.080234,0.024218,6.0,0.7855
2.33,0.5,60,30,1331,632,699,0.04534,0.088705,0.02286,5.0,0.7927
2.33,1.0,60,30,1369,472,897,0.048536,0.098838,0.023587,4.0,0.7903
1.65,0.0,60,90,2983,1781,1202,0.045076,0.065407,0.02191,5.0,0.785
1.65,0.5,60,90,3202,1376,1826,0.041841,0.068795,0.020063,4.0,0.7892
1.65,1.0,60,90,3374,1008,2366,0.037679,0.074061,0.018716,4.0,0.7708
2.0,0.0,60,90,1942,1180,762,0.048604,0.076794,0.024061,5.0,0.7966
2.0,0.5,60,90,2051,916,1135,0.044127,0.081579,0.022016,5.0,0.8035
2.0,1.0,60,90,2125,672,1453,0.043343,0.089486,0.021369,4.0,0.7872
2.33,0.0,60,90,1276,799,477,0.048876,0.085292,0.024395,6.0,0.7897
2.33,0.5,60,90,1327,628,699,0.045948,0.093667,0.023338,5.0,0.7994
2.33,1.0,60,90,1367,470,897,0.048876,0.10523,0.023623,4.0,0.7936
1.65,0.0,60,120,2981,1779,1202,0.045152,0.065726,0.021929,5.0,0.787
1.65,0.5,60,120,3202,1376,1826,0.041841,0.068692,0.020063,4.0,0.7892
1.65,1.0,60,120,3374,1008,2366,0.037679,0.074073,0.018716,4.0,0.7708
2.0,0.0,60,120,1942,1180,762,0.04872,0.07725,0.024164,5.0,0.7983
2.0,0.5,60,120,2051,916,1135,0.044127,0.081489,0.022016,5.0,0.8035
2.0,1.0,60,120,2125,672,1453,0.043343,0.089503,0.021369,4.0,0.7872
2.33,0.0,60,120,1276,799,477,0.049701,0.085892,0.024408,6.0,0.7922
2.33,0.5,60,120,1327,628,699,0.045948,0.093537,0.023338,5.0,0.7994
2.33,1.0,60,120,1367,470,897,0.048876,0.105255,0.023623,4.0,0.7936
1.65,0.0,90,30,2864,1730,1134,0.044584,0.066424,0.022671,5.0,0.789
1.65,0.5,90,30,3076,1328,1748,0.043417,0.071345,0.021081,5.0,0.7899
1.65,1.0,90,30,3236,964,2272,0.041765,0.079023,0.020309,4.0,0.7884
2.0,0.0,90,30,1812,1099,713,0.049556,0.077998,0.024285,6.0,0.8062
2.0,0.5,90,30,1903,840,1063,0.047469,0.084174,0.023542,5.0,0.8167
2.0,1.0,90,30,1983,620,1363,0.048452,0.098094,0.023631,4.0,0.8113
2.33,0.0,90,30,1227,746,481,0.050757,0.083218,0.025324,6.0,0.8016
2.33,0.5,90,30,1270,586,684,0.049345,0.091632,0.024799,5.0,0.8106
