date,rolling_sharpe_252d
2011-09-15,
2011-09-16,
2011-09-19,
2011-09-20,
2011-09-21,
2011-09-22,
2011-09-23,
2011-09-26,
2011-09-27,
2011-09-28,
2011-09-29,
2011-09-30,
2011-10-03,
2011-10-04,
2011-10-05,
2011-10-06,
2011-10-07,
2011-10-10,
2011-10-11,
2011-10-12,
2011-10-13,
2011-10-14,
2011-10-17,
2011-10-18,
2011-10-19,
2011-10-20,
2011-10-21,
2011-10-24,
2011-10-25,
2011-10-26,
2011-10-27,
2011-10-28,
2011-10-31,
2011-11-01,
2011-11-02,
2011-11-03,
2011-11-04,
2011-11-07,
2011-11-08,
2011-11-09,
2011-11-10,
2011-11-11,
2011-11-14,
2011-11-15,
2011-11-16,
2011-11-17,
2011-11-18,
2011-11-21,
2011-11-22,
2011-11-23,
2011-11-25,
2011-11-28,
2011-11-29,
2011-11-30,
2011-12-01,
2011-12-02,
2011-12-05,
2011-12-06,
2011-12-07,
2011-12-08,
2011-12-09,
2011-12-12,
2011-12-13,1.9160506592063613
2011-12-14,1.8985516065103518
2011-12-15,1.8162660184449018
2011-12-16,2.0124896623012467
2011-12-19,2.045578573785617
2011-12-20,1.8632084166844292
2011-12-21,1.998142091125226
2011-12-22,1.9373666129932365
2011-12-23,1.9236664409417474
2011-12-27,1.9440662161397417
2011-12-28,1.9398619814628717
2011-12-29,1.9130847082145264
2011-12-30,1.9006411995504822
2012-01-03,1.8880829669776622
2012-01-04,2.123900716186984
2012-01-05,2.119279353306724
2012-01-06,2.0841412046006433
2012-01-09,2.0433392560435215
2012-01-10,2.107988654286668
2012-01-11,2.086277034737272
2012-01-12,2.031629145069333
2012-01-13,2.1351571514126477
2012-01-17,2.1537521563628235
2012-01-18,2.2768975341511215
2012-01-19,2.2967491267630744
2012-01-20,2.349249980886439
2012-01-23,2.3219694196691645
2012-01-24,2.332482512606822
2012-01-25,2.3245065467907233
2012-01-26,2.545122315495916
2012-01-27,2.4238506711630126
2012-01-30,2.432981650969012
2012-01-31,2.4380672693515963
2012-02-01,2.2441497005959286
2012-02-02,2.552749999585049
2012-02-03,2.4098070965700074
2012-02-06,2.536001930110671
2012-02-07,2.4561105083066597
2012-02-08,2.456145143623156
2012-02-09,2.5695852964904207
2012-02-10,2.723694264510036
2012-02-13,2.5378625589149477
2012-02-14,2.550334049340893
2012-02-15,2.6360353829874077
2012-02-16,2.4171180391452034
2012-02-17,2.4895770402973367
2012-02-21,2.580296978118358
2012-02-22,2.6683682037983005
2012-02-23,2.4318409338141276
2012-02-24,2.3260284085370633
2012-02-27,2.3607793046804915
2012-02-28,2.589501466800074
2012-02-29,2.441187918734528
