date,rolling_sharpe_252d
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-05,
2021-04-06,1.2904860286995625
2021-04-07,1.45325007942937
2021-04-08,1.1509679819175966
2021-04-09,1.1673175163911969
2021-04-12,1.5509492772930933
2021-04-13,1.6527870038570618
2021-04-14,1.6563209760892459
2021-04-15,1.0101278276587362
2021-04-16,0.9155954842803571
2021-04-19,0.9984784672351134
2021-04-20,0.9695275542665446
2021-04-21,0.9630201653064449
2021-04-22,1.0069768586369712
2021-04-23,0.9929387640782301
2021-04-26,1.0714596179247475
2021-04-27,1.7278972873273015
2021-04-28,1.774321732272202
2021-04-29,1.8101514963323269
2021-04-30,2.1192475099997727
2021-05-03,1.9469851229840953
2021-05-04,1.9861159834912967
2021-05-05,2.13740034648369
2021-05-06,2.041707121052666
2021-05-07,2.282139311114431
2021-05-10,2.3549483408395684
2021-05-11,2.0116935752305283
2021-05-12,2.085695395013184
2021-05-13,2.0998881805146636
2021-05-14,1.9807926713963828
2021-05-17,1.9428415096168994
2021-05-18,1.9079674331009053
2021-05-19,1.9067433652007002
2021-05-20,2.0019089470952207
2021-05-21,1.9932577115251706
2021-05-24,1.9872013520343028
2021-05-25,1.9331410813198027
2021-05-26,1.9376298621066717
2021-05-27,1.9294283613136205
2021-05-28,1.9522425559997565
2021-06-01,1.962205150539114
2021-06-02,1.9526042480587138
2021-06-03,1.9431429193073133
2021-06-04,1.9812118272602968
2021-06-07,1.921258140624036
2021-06-08,2.0348614134245
2021-06-09,2.008967325708917
2021-06-10,1.999668097369552
2021-06-11,1.990496829814444
2021-06-14,1.9708089740285268
2021-06-15,1.9905903539093772
2021-06-16,1.9412245401056003
2021-06-17,1.9452681367277076
2021-06-18,1.951496563616439
2021-06-21,2.0259596766414574
2021-06-22,1.7082890416265317
2021-06-23,1.4993321710628822
2021-06-24,1.5550311268374244
2021-06-25,0.5181390642858279
2021-06-28,1.0084381195805283
2021-06-29,1.0935245991317781
2021-06-30,0.9043241927262116
2021-07-01,0.8420797888967644
2021-07-02,0.866138141415963
2021-07-06,0.7629679558807118
2021-07-07,0.8679073380320339
2021-07-08,1.1625601620550714
2021-07-09,1.1766884489860796
2021-07-12,0.9551297968196448
2021-07-13,0.8278474774353616
2021-07-14,0.7780120903063609
2021-07-15,0.4979536482079747
2021-07-16,0.5949941301994759
2021-07-19,0.7658019340133952
2021-07-20,0.750382672262929
2021-07-21,0.7571973478326782
2021-07-22,0.7999021278584688
2021-07-23,0.7595383530304579
2021-07-26,0.7587279113684039
2021-07-27,0.7424973638234144
2021-07-28,0.7398911855021022
2021-07-29,0.803693764111821
2021-07-30,0.8510401598231944
2021-08-02,0.7444117564323351
2021-08-03,0.7245091616592276
2021-08-04,0.7461468293795871
2021-08-05,0.666626043814958
2021-08-06,0.669638847135871
2021-08-09,0.667838883859565
2021-08-10,0.7066026727317264
2021-08-11,0.6234720559076178
2021-08-12,0.6534822050397111
2021-08-13,0.7407280648647343
2021-08-16,0.7507644814480429
2021-08-17,0.7355907668166065
2021-08-18,0.7125024545689403
2021-08-19,0.7729565238493086
2021-08-20,0.9538697634517262
2021-08-23,0.3286137236737351
2021-08-24,0.42896391979623294
2021-08-25,0.44002783031665443
2021-08-26,0.4511520555438037
2021-08-27,0.42147650628828137
2021-08-30,0.4444833285213473
2021-08-31,0.471164594636227
2021-09-01,0.4476652897919012
2021-09-02,0.48423859560395843
2021-09-03,0.5436206055103873
2021-09-07,0.4109106840916518
2021-09-08,0.4892484022012085
2021-09-09,0.45111841018136223
2021-09-10,0.43999293402558903
2021-09-13,0.5521534294313735
2021-09-14,0.4539837239323921
2021-09-15,0.4129945947026495
2021-09-16,0.3888615365178158
2021-09-17,0.37588562995197095
2021-09-20,0.6850897000693956
2021-09-21,0.6802564271812616
2021-09-22,0.6839604048862712
2021-09-23,0.6820857168958454
2021-09-24,0.7310989215348637
2021-09-27,0.7563423986640426
2021-09-28,0.7643706823582516
2021-09-29,0.7532069132406837
2021-09-30,0.6529041564696636
2021-10-01,0.6391095736079374
2021-10-04,0.6654312980694443
2021-10-05,0.5443774531532991
2021-10-06,0.6824817845076129
2021-10-07,0.6579900067583861
2021-10-08,0.6115913203841775
2021-10-11,0.6241013248706682
2021-10-12,0.6966756975223379
2021-10-13,0.6949018965948452
2021-10-14,0.6931415755285195
2021-10-15,0.6900929637392986
2021-10-18,0.6806191183285905
2021-10-19,0.6441103048688902
2021-10-20,0.7081367647944582
2021-10-21,0.704442650642078
2021-10-22,0.7016772474182723
2021-10-25,0.6683182987561124
2021-10-26,0.673271794974801
2021-10-27,0.6716406964085486
2021-10-28,0.6700213951736138
2021-10-29,0.6761912238913637
2021-11-01,0.6708421043223473
2021-11-02,0.6961313932421691
2021-11-03,0.6850182195755405
2021-11-04,0.6834053603954361
2021-11-05,0.6818038399416324
2021-11-08,0.6774462445673606
2021-11-09,0.670720007052408
2021-11-10,0.6971096782731124
2021-11-11,0.6806020132423093
2021-11-12,0.6756637661985011
2021-11-15,0.6468635251044756
2021-11-16,0.6973692713597467
2021-11-17,0.6642346992766286
2021-11-18,0.6627411461444644
2021-11-19,0.6589767714663154
2021-11-22,0.6085140850019138
2021-11-23,0.6071643845396127
2021-11-24,0.5734346183499154
2021-11-26,0.6420674846372488
2021-11-29,0.6873913088731075
2021-11-30,0.6783118886087671
2021-12-01,0.6875398332490968
2021-12-02,0.6580953536416239
2021-12-03,0.8064087482395201
2021-12-06,0.824025849477952
2021-12-07,0.8311652019454348
2021-12-08,0.8171622671940377
2021-12-09,0.8087863890690142
2021-12-10,0.8110592021440134
2021-12-13,0.8023873190674925
2021-12-14,0.8132698377496188
2021-12-15,0.8572228804043445
2021-12-16,0.8554447898923948
2021-12-17,0.853677718187847
2021-12-20,0.8519215519539232
2021-12-21,0.8859608895836296
2021-12-22,0.8708464228437184
2021-12-23,0.8845801778758137
2021-12-27,0.8827894361007353
2021-12-28,0.8519858811951697
2021-12-29,0.927834231296437
2021-12-30,0.9652556208709275
2021-12-31,0.9602895293258865
2022-01-03,0.9441773456107412
2022-01-04,0.8877988777734678
2022-01-05,0.874713318902625
2022-01-06,0.8705395983024674
2022-01-07,0.9650280318790085
2022-01-10,0.9480129976702927
2022-01-11,0.9365695795120121
2022-01-12,0.9277099179508163
2022-01-13,0.8973658336651676
2022-01-14,0.9340079755055798
2022-01-18,0.8965755392855096
2022-01-19,0.8978745786567804
